Phase,FileName,CC,MSE,SSIM
phase2-1,phase2-1_input0088-modality0-WarpedToTemplate.nii.gz,0.9832101238082108,0.01222361943131257,0.9121940437042795
phase2-1,phase2-1_input0029-modality0-WarpedToTemplate.nii.gz,0.9815714604499577,0.008598577443689762,0.9230999161737462
phase2-1,phase2-1_input0038-modality0-WarpedToTemplate.nii.gz,0.9754586689716398,0.004766402243478561,0.9320553334116832
phase2-1,phase2-1_input0058-modality0-WarpedToTemplate.nii.gz,0.9787525207051113,0.01290918687217877,0.901848055045996
phase2-1,phase2-1_input0049-modality0-WarpedToTemplate.nii.gz,0.9829661821536025,0.011861481819358838,0.9137912169685525
phase2-1,phase2-1_input0055-modality0-WarpedToTemplate.nii.gz,0.978522661369997,0.015007620310031677,0.895314103829272
phase2-1,phase2-1_input0037-modality0-WarpedToTemplate.nii.gz,0.9801724949475323,0.01044321494382681,0.9187243135714811
phase2-1,phase2-1_input0044-modality0-WarpedToTemplate.nii.gz,0.9853471471426998,0.005228419166381594,0.9373017757483731
phase2-1,phase2-1_input0026-modality0-WarpedToTemplate.nii.gz,0.9819115381211887,0.013302999289850822,0.9053853758196286
phase2-1,phase2-1_input0087-modality0-WarpedToTemplate.nii.gz,0.9813928944620309,0.01400615961959653,0.9020140650967859
phase2-1,phase2-1_input0070-modality0-WarpedToTemplate.nii.gz,0.9845645738588122,0.0045493842360617015,0.9408526839400226
